System,Type,Gamma_cm^-1,Pair_Density_Full,Subsample_Success,Subsample_Mean,Continuous_Baseline_Uniform_Density,Continuous_Baseline_GapShuffle_Density
Fe I (NIST),atomic,0.0001,0.0,0.0,0.0,2.2921539352680413e-09,0.0
Fe I (NIST),atomic,0.0001492495545051829,0.0,0.0,0.0,1.8736842109857265e-08,3.680092229085438e-57
Fe I (NIST),atomic,0.00022275429519995563,0.0,0.0,0.0,2.970260670720461e-08,0.0
Fe I (NIST),atomic,0.00033245979322709415,0.0,0.0,0.0,2.69315294389707e-08,0.0
Fe I (NIST),atomic,0.0004961947603002903,1.0248616721771865e-197,0.0,0.0,4.164694558621739e-08,1.7932651491862037e-08
Fe I (NIST),atomic,0.0007405684692262435,3.2127519164880356e-92,0.0,0.0,8.199542946079783e-08,3.024921775488665e-08
Fe I (NIST),atomic,0.0011052951411260222,7.35832693268787e-45,0.0,0.0,8.986690092935964e-08,7.358326932687868e-45
Fe I (NIST),atomic,0.0016496480740980208,1.347204321602669e-23,0.0,0.0,1.0463479765789016e-07,1.3472043216026693e-23
Fe I (NIST),atomic,0.0024620924014946257,5.086455198482663e-14,0.0,0.0,2.053877218151332e-07,3.370031846171473e-09
Fe I (NIST),atomic,0.003674661940736688,1.2242061190022015e-09,0.0,0.0,3.508240160376286e-07,4.081284696256355e-09
Fe I (NIST),atomic,0.005484416576121015,1.3686829562327047e-07,0.0,0.0,4.2062633856411217e-07,1.3759812695277942e-07
Fe I (NIST),atomic,0.008185467307069028,1.2772818777702806e-06,0.0,0.0,6.01148517839926e-07,1.2772855023688189e-06
Fe I (NIST),atomic,0.012216773489967919,4.005324374533181e-06,0.0,0.0,8.86840814218757e-07,5.155871610713069e-06
Fe I (NIST),atomic,0.018233480008684404,9.404750948450194e-06,0.0033333333333333335,0.0033333333333333335,1.4271313031664674e-06,9.829410258060548e-06
Fe I (NIST),atomic,0.027213387683753087,2.1360743547061722e-05,0.0033333333333333335,0.0033333333333333335,2.1154974160436513e-06,1.823538401743096e-05
