System,Type,Gamma_cm^-1,Pair_Density_Full,Subsample_Success,Subsample_Mean,Continuous_Baseline_Uniform_Density,Continuous_Baseline_GapShuffle_Density
Fe I (NIST),atomic,0.0001,0.0,0.0,0.0,1.1243785613733953e-08,0.0
Fe I (NIST),atomic,0.00012067926406393288,0.0,0.0,0.0,1.0068176686485195e-08,7.953929399653139e-215
Fe I (NIST),atomic,0.00014563484775012445,0.0,0.0,0.0,2.3023353458260813e-08,0.0
Fe I (NIST),atomic,0.00017575106248547912,0.0,0.0,0.0,1.5559809768182242e-09,0.0
Fe I (NIST),atomic,0.00021209508879201905,0.0,0.0,0.0,1.3744722188919963e-08,0.0
Fe I (NIST),atomic,0.0002559547922699536,0.0,0.0,0.0,1.774798050532775e-08,0.0
Fe I (NIST),atomic,0.00030888435964774815,0.0,0.0,0.0,1.2292068564022354e-08,9.024667091370468e-39
Fe I (NIST),atomic,0.0003727593720314938,0.0,0.0,0.0,3.2426260328878024e-08,3.4384754180217213e-222
Fe I (NIST),atomic,0.0004498432668969444,3.365848154331014e-239,0.0,0.0,2.7159524949875496e-08,3.365848154331014e-239
Fe I (NIST),atomic,0.0005428675439323859,3.258939273613814e-166,0.0,0.0,1.558199241457323e-08,6.175037404861201e-92
Fe I (NIST),atomic,0.0006551285568595509,4.25418465858952e-116,0.0,0.0,4.714038536537124e-08,4.301139550673925e-07
Fe I (NIST),atomic,0.0007906043210907702,1.09832627214117e-81,0.0,0.0,5.790459905704406e-08,1.09832627214117e-81
Fe I (NIST),atomic,0.0009540954763499944,4.673401662684277e-58,0.0,0.0,6.103127269245709e-08,4.673401662684277e-58
Fe I (NIST),atomic,0.0011513953993264468,7.84143591327762e-42,0.0,0.0,9.83980818906895e-08,6.01037582998428e-38
Fe I (NIST),atomic,0.0013894954943731374,1.0845889369786066e-30,0.0,0.0,9.586841697127755e-08,2.723679692899308e-25
Fe I (NIST),atomic,0.0016768329368110067,4.8616344814733856e-23,0.0,0.0,1.567871480914387e-07,1.4749873300651383e-10
Fe I (NIST),atomic,0.0020235896477251557,8.87070706708952e-18,0.0,0.0,1.2981954093393912e-07,2.343798658144274e-14
Fe I (NIST),atomic,0.0024420530945486497,3.775242050377768e-14,0.0,0.0,2.574820734845884e-07,3.7752420503777684e-14
Fe I (NIST),atomic,0.0029470517025518097,1.2347545071326796e-11,0.0,0.0,1.9798988820418463e-07,1.2347545071326796e-11
Fe I (NIST),atomic,0.0035564803062231283,6.956451439427078e-10,0.0,0.0,2.3991706384404687e-07,6.956452439277737e-10
Fe I (NIST),atomic,0.004291934260128779,1.1685327662396103e-08,0.0,0.0,3.454878986388082e-07,1.7419820900766208e-08
Fe I (NIST),atomic,0.005179474679231213,8.488357091991892e-08,0.0,0.0,4.431818771060662e-07,1.2659599118723965e-07
Fe I (NIST),atomic,0.0062505519252739694,3.426985431162732e-07,0.0,0.0,6.054258229806285e-07,1.7099389142263993e-06
Fe I (NIST),atomic,0.007543120063354615,9.157295137670384e-07,0.0,0.0,6.051836498666216e-07,1.055482002063436e-06
Fe I (NIST),atomic,0.009102981779915217,1.8459342872290785e-06,0.0,0.0,8.123331572384006e-07,1.8465825165547944e-06
Fe I (NIST),atomic,0.010985411419875584,3.117469101808317e-06,0.0,0.0,7.93404994782472e-07,4.2438320423018265e-06
Fe I (NIST),atomic,0.013257113655901081,4.798009833372633e-06,0.0,0.0,9.85314766196852e-07,5.237880641161724e-06
Fe I (NIST),atomic,0.015998587196060572,7.149453380748046e-06,0.0033333333333333335,0.0033333333333333335,1.4207808893259531e-06,7.369817931225755e-06
Fe I (NIST),atomic,0.019306977288832496,1.059703930836622e-05,0.0033333333333333335,0.0033333333333333335,1.4572254449061317e-06,1.0552667385281047e-05
Fe I (NIST),atomic,0.023299518105153717,1.559337624984474e-05,0.0033333333333333335,0.0033333333333333335,1.7069889990890047e-06,1.4109068310450546e-05
Fe I (NIST),atomic,0.02811768697974228,2.2834069272999946e-05,0.0033333333333333335,0.0033333333333333335,1.911335602243747e-06,1.9915261225475555e-05
Fe I (NIST),atomic,0.033932217718953266,3.375357099351911e-05,0.0033333333333333335,0.0033333333333333335,2.3875901871348954e-06,2.6696465521186208e-05
Fe I (NIST),atomic,0.040949150623804234,4.995347970713174e-05,0.0033333333333333335,0.0033333333333333335,3.3701755829550446e-06,3.8381697686724167e-05
Fe I (NIST),atomic,0.04941713361323833,7.173708598434147e-05,0.006666666666666667,0.006666666666666667,3.7626778300013436e-06,5.35898751784589e-05
Fe I (NIST),atomic,0.05963623316594643,9.774740907606555e-05,0.013333333333333334,0.013333333333333334,4.389404992769429e-06,7.350096952373951e-05
Fe I (NIST),atomic,0.07196856730011514,0.00012588493834840968,0.013333333333333334,0.013333333333333334,5.340579127775344e-06,9.254629294024215e-05
Fe I (NIST),atomic,0.08685113737513521,0.00015427166586872953,0.02,0.02,6.124693910427438e-06,0.0001128299911407025
Fe I (NIST),atomic,0.10481131341546852,0.0001818168569779166,0.04,0.04,6.619460648413887e-06,0.00013393854223696716
Fe I (NIST),atomic,0.12648552168552957,0.00020840882629369816,0.043333333333333335,0.043333333333333335,7.511943180721556e-06,0.00014852409570530734
Fe I (NIST),atomic,0.15264179671752318,0.00023467114546705373,0.05,0.05,9.045521191734426e-06,0.00016848006253969105
Fe I (NIST),atomic,0.18420699693267145,0.00026155843609425045,0.05333333333333334,0.05333333333333334,1.037745750293218e-05,0.0001825814759708527
Fe I (NIST),atomic,0.22229964825261933,0.00029009497731094844,0.06,0.06,1.1298217791435344e-05,0.00020116935432028208
Fe I (NIST),atomic,0.2682695795279725,0.00032132874525406024,0.06333333333333334,0.06333333333333334,1.3902940485594991e-05,0.00021951868382673602
Fe I (NIST),atomic,0.32374575428176433,0.0003565187873495991,0.07333333333333333,0.07333333333333333,1.559967309969204e-05,0.0002373045727637305
Fe I (NIST),atomic,0.3906939937054613,0.0003973484150850437,0.08333333333333333,0.08333333333333333,1.8087803956074976e-05,0.0002603537230076416
Fe I (NIST),atomic,0.47148663634573895,0.00044595453151998154,0.08333333333333333,0.08333333333333333,2.2187447953187462e-05,0.0002815741578483067
Fe I (NIST),atomic,0.5689866029018293,0.0005047084440633403,0.09333333333333334,0.09333333333333334,2.5438419643899094e-05,0.0003107461467113888
Fe I (NIST),atomic,0.6866488450042998,0.0005754965352202828,0.10666666666666667,0.11333333333333333,2.9857472081902292e-05,0.00033625639615277036
Fe I (NIST),atomic,0.8286427728546842,0.0006587247796629915,0.11333333333333333,0.13,3.641913377246388e-05,0.0003763460444578418
Fe I (NIST),atomic,1.0,0.0007531963993941305,0.12333333333333334,0.14666666666666667,4.235461639562229e-05,0.00041369752048262546
Fe II (NIST),atomic,0.0001,0.0,0.0,0.0,3.28474861661568e-11,0.0
Fe II (NIST),atomic,0.00012067926406393288,6.152885869385727e-278,0.0,0.0,7.561951105619094e-09,6.152885869385727e-278
Fe II (NIST),atomic,0.00014563484775012445,7.26230533165874e-193,0.0,0.0,1.3752132779113985e-08,7.26230533165874e-193
Fe II (NIST),atomic,0.00017575106248547912,1.8865227892167038e-134,0.0,0.0,1.6306218573889414e-10,1.8865227892167038e-134
Fe II (NIST),atomic,0.00021209508879201905,2.4320423300490954e-94,0.0,0.0,2.3606418586452655e-08,2.4320423300490954e-94
Fe II (NIST),atomic,0.0002559547922699536,8.465810206911981e-67,0.0,0.0,4.360383789764588e-09,8.46581020691198e-67
Fe II (NIST),atomic,0.00030888435964774815,6.90467491307148e-48,0.0,0.0,9.467352358290251e-09,6.90467491307148e-48
Fe II (NIST),atomic,0.0003727593720314938,6.678601050438917e-35,0.0,0.0,1.1252698396260667e-08,6.678601050438916e-35
Fe II (NIST),atomic,0.0004498432668969444,5.51052655839385e-26,0.0,0.0,1.1478677494925557e-08,5.510526558393851e-26
Fe II (NIST),atomic,0.0005428675439323859,7.306388208717526e-20,0.0,0.0,2.3771222222904273e-08,7.306388208717526e-20
Fe II (NIST),atomic,0.0006551285568595509,1.1687373393127935e-15,0.0,0.0,3.1355759868569116e-08,1.1687373393170608e-15
Fe II (NIST),atomic,0.0007906043210907702,9.003231085207129e-13,0.0,0.0,4.458762259066366e-08,9.003231085207129e-13
Fe II (NIST),atomic,0.0009540954763499944,8.640420926184645e-11,0.0,0.0,1.6580989050622505e-08,1.3156605190595799e-07
Fe II (NIST),atomic,0.0011513953993264468,1.9841140858883055e-09,0.0,0.0,4.0534605009137555e-08,1.9841140858883055e-09
Fe II (NIST),atomic,0.0013894954943731374,1.7065440886922394e-08,0.0,0.0,4.548960690386641e-08,1.7141467093842388e-08
Fe II (NIST),atomic,0.0016768329368110067,7.478694449025018e-08,0.0,0.0,7.835258839421987e-08,7.478694449034592e-08
Fe II (NIST),atomic,0.0020235896477251557,2.0627853450487192e-07,0.0,0.0,1.2588916455858846e-07,4.673232826152167e-07
Fe II (NIST),atomic,0.0024420530945486497,4.1401008741356536e-07,0.0,0.0,1.0028853886458126e-07,4.140100874135654e-07
Fe II (NIST),atomic,0.0029470517025518097,6.679806624271868e-07,0.0,0.0,8.982947702614537e-08,6.679806624271868e-07
Fe II (NIST),atomic,0.0035564803062231283,9.280091134858917e-07,0.0,0.0,1.7156882042097805e-07,1.2389182446915757e-06
Fe II (NIST),atomic,0.004291934260128779,1.168213966331119e-06,0.0,0.0,2.0392302635382396e-07,1.1682763373974523e-06
