System,Type,Target_cm^-1,Pair_Density,Min_Distance
Fe I (NIST),atomic,0.0,0.00013955084006034348,0.000999999996565748
Fe I (NIST),atomic,0.02512562814070352,0.00015340039863360008,0.00012562814652428492
Fe I (NIST),atomic,0.05025125628140704,0.0001637405684628171,0.004748743718884001
Fe I (NIST),atomic,0.07537688442211056,0.0001709755673752149,0.0026231155792282163
Fe I (NIST),atomic,0.10050251256281408,0.00017579062023262548,0.019502512564502097
Fe I (NIST),atomic,0.1256281407035176,0.00017878054676824225,0.001371859296889849
Fe I (NIST),atomic,0.15075376884422112,0.00018020861569948874,0.00024623115379981964
Fe I (NIST),atomic,0.17587939698492464,0.00017999454074023254,0.00012060302182745342
Fe I (NIST),atomic,0.20100502512562815,0.00017790521771264426,5.025124696828032e-06
Fe I (NIST),atomic,0.22613065326633167,0.00017382279955822314,0.004130653264760059
Fe I (NIST),atomic,0.2512562814070352,0.00016794197555003052,0.001256281407035209
Fe I (NIST),atomic,0.2763819095477387,0.000160803700769224,0.009381909547913347
Fe I (NIST),atomic,0.30150753768844224,0.00015316595484013478,0.0005075376889661087
Fe I (NIST),atomic,0.32663316582914576,0.00014579010468289917,0.0023668341760347267
Fe I (NIST),atomic,0.35175879396984927,0.00013924800118437458,0.003241206033352151
Fe I (NIST),atomic,0.3768844221105528,0.00013382623029083808,0.003884422103684282
Fe I (NIST),atomic,0.4020100502512563,0.00012954422020002859,0.0020100502498011097
Fe I (NIST),atomic,0.4271356783919598,0.00012624748533585976,0.006864321609146129
Fe I (NIST),atomic,0.45226130653266333,0.0001237132153743231,0.00026130653516626134
Fe I (NIST),atomic,0.47738693467336685,0.00012171913915707955,0.0003869346744145852
Fe I (NIST),atomic,0.5025125628140704,0.00012006345790659995,0.007512562811451073
Fe I (NIST),atomic,0.5276381909547739,0.00011855841018836679,0.001638190956752994
Fe I (NIST),atomic,0.5527638190954774,0.00011703216062683898,0.00023618090440613582
Fe I (NIST),atomic,0.577889447236181,0.00011535877020183448,0.0021105527655652656
Fe I (NIST),atomic,0.6030150753768845,0.00011350689398382968,0.003984924619448438
Fe I (NIST),atomic,0.628140703517588,0.00011157548393021625,0.0021407035137462893
Fe I (NIST),atomic,0.6532663316582915,0.00010978447973819014,0.01626633165584679
Fe I (NIST),atomic,0.678391959798995,0.00010841067497851736,0.001608040194020055
Fe I (NIST),atomic,0.7035175879396985,0.00010768978506824479,0.015482412057623907
Fe I (NIST),atomic,0.7286432160804021,0.00010772654123241128,0.0016432160814497943
Fe I (NIST),atomic,0.7537688442211056,0.00010845348871613288,0.002231155780116789
Fe I (NIST),atomic,0.7788944723618091,0.00010965721832211239,0.00010552764046101171
Fe I (NIST),atomic,0.8040201005025126,0.00011106013256472489,0.0009798994977784359
Fe I (NIST),atomic,0.8291457286432161,0.00011242195268407391,0.0011457286491532992
Fe I (NIST),atomic,0.8542713567839196,0.0001136186872869549,0.0012713567811256654
Fe I (NIST),atomic,0.8793969849246231,0.00011466925302772057,0.01039698492584551
Fe I (NIST),atomic,0.9045226130653267,0.0001157040591532779,0.0005226130630565651
Fe I (NIST),atomic,0.9296482412060302,0.00011689358684545612,0.004648241210395754
Fe I (NIST),atomic,0.9547738693467337,0.0001183676528531076,0.0012261306515782833
Fe I (NIST),atomic,0.9798994974874372,0.0001201538497920576,0.00789949749314156
Fe I (NIST),atomic,1.0050251256281408,0.00012215121776041894,2.512563076018104e-05
Fe I (NIST),atomic,1.0301507537688444,0.0001241416591967919,0.0018492462303989488
Fe I (NIST),atomic,1.0552763819095479,0.0001258337066096837,0.004276381910071736
Fe I (NIST),atomic,1.0804020100502514,0.00012693076518986127,0.00040201004850515254
Fe I (NIST),atomic,1.105527638190955,0.00012721335271177468,0.0025276381954368876
Fe I (NIST),atomic,1.1306532663316584,0.00012661791343329174,0.005346733666944603
Fe I (NIST),atomic,1.155778894472362,0.0001252862149962696,0.0007788944735260817
Fe I (NIST),atomic,1.1809045226130654,0.0001235581515588959,0.0039045226170235647
Fe I (NIST),atomic,1.206030150753769,0.0001218950419826122,0.006030150749403385
Fe I (NIST),atomic,1.2311557788944725,0.00012074907122058125,0.012155778897150027
Fe I (NIST),atomic,1.256281407035176,0.00012042450723570053,0.005718592967268732
Fe I (NIST),atomic,1.2814070351758795,0.00012098941988839257,0.00440703517401686
Fe I (NIST),atomic,1.306532663316583,0.00012228068832336535,0.005467336681496127
Fe I (NIST),atomic,1.3316582914572865,0.0001240035650460733,0.0026582914593820117
Fe I (NIST),atomic,1.35678391959799,0.00012587958942019957,0.0017839196020645876
Fe I (NIST),atomic,1.3819095477386936,0.0001277692669009428,9.045226637049986e-05
Fe I (NIST),atomic,1.407035175879397,0.00012970608229818562,0.004035175880968689
